SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,H
3IINFOTECH,EQ,3I INFOTECH LTD.,H
3PLAND,EQ,3P LAND HOLDINGS LIMITED,H
772GS2055,GS,GOI LOAN 7.72% 2055,H
A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,H
AARTISURF,EQ,AARTI SURFACTANTS LIMITED,H
ACCURACY,SM,ACCURACY SHIPPING LIMITED,H
ADL,BE,ARCHIDPLY DECOR LIMITED,H
ADSL,EQ,ALLIED DIGITAL SERV. LTD,H
AFFLE,EQ,AFFLE (INDIA) LIMITED,H
AGROPHOS,EQ,AGRO PHOS INDIA LIMITED,H
AHLADA,SM,AHLADA ENGINEERS LIMITED,H
AISL,SM,ANI INTEGRATED SERV LTD.,H
AKSHOPTFBR,EQ,AKSH OPTIFIBRE LIMITED,H
ANKITMETAL,EQ,ANKIT MET & POW LTD,H
ANSALAPI,EQ,ANSAL PROP & INFRA LTD,H
ANSALHSG,EQ,ANSAL HOUSING LIMITED,H
ARCHIES,EQ,ARCHIES LTD,H
ARCOTECH,EQ,ARCOTECH LIMITED,H
ARIHANTSUP,EQ,ARIHANT SUPERSTRUCT LTD,H
ARROWGREEN,EQ,ARROW GREENTECH LIMITED,H
ARSHIYA,EQ,ARSHIYA LIMITED,H
ARSSINFRA,EQ,ARSS INFRA PROJ. LTD,H
ASHIMASYN,EQ,ASHIMA LTD,H
ATLANTA,EQ,ATLANTA LIMITED,H
ATLASCYCLE,BZ,ATLAS CYCLE (HARYANA) LTD,H
ATNINTER,BE,ATN INTERNATIONAL LTD,H
BALKRISHNA,EQ,BALKRISHNA PAPER MILLS L,H
BALLARPUR,BZ,BALLARPUR INDUSTRIES LTD,H
BANSWRAS,EQ,BANSWARA SYNTEX LIMITED,H
BARTRONICS,BZ,BARTRONICS INDIA LIMITED,H
BCG,EQ,BRIGHTCOM GROUP LIMITED,H
BEDMUTHA,EQ,BEDMUTHA INDUST LTD,H
BGRENERGY,EQ,BGR ENERGY SYSTEMS LTD,H
BIGBLOC,BE,BIGBLOC CONSTRUCTION LTD,H
BIOFILCHEM,BE,BIOFIL CHEM & PHARMA LTD.,H
BLBLIMITED,EQ,BLB LIMITED,H
BLKASHYAP,EQ,B.L.KASHYAP & SON LTD,H
BLS,EQ,BLS INTL SERVS LTD,H
BOHRA,SM,BOHRA INDUSTRIES LIMITED,H
BOROLTD,EQ,BOROSIL LIMITED,H
BPL,EQ,BPL LTD,H
BROOKS,EQ,BROOKS LAB LIMITED,H
BSELINFRA,EQ,BSEL INFRASTRUCTURE REALT,H
BURNPUR,EQ,BURNPUR CEMENT LTD.,H
CALSOFT,EQ,CALIFORNIA SOFTWARE CO LT,H
CANDC,BZ,C&C CONST. LTD,H
CCCL,BE,CONS. CONST. CONSORT LTD,H
CGPOWER,EQ,CG POWER AND IND SOL LTD,H
CHROMATIC,EQ,CHROMATIC INDIA LTD,H
CINEVISTA,EQ,CINEVISTA LIMITED,H
COUNCODOS,BE,COUNTRY CONDO'S LIMITED,H
COX&KINGS,BZ,COX & KINGS LIMITED,H
CREATIVEYE,EQ,CREATIVE EYE LIMITED,H
CTE,EQ,CAMBRIDGE TECH ENTER LTD,H
CYBERTECH,EQ,CYBERTECH SYSTEMS & SOFTW,H
DANGEE,EQ,DANGEE DUMS LIMITED,H
DBREALTY,EQ,D B REALTY LIMITED,H
DBSTOCKBRO,EQ,DB (INT) STOCK BROKERS,H
DCMFINSERV,EQ,DCM FINANCIAL SERVICES LT,H
DELTAMAGNT,EQ,DELTA MANUFACTURING LTD,H
DGCONTENT,EQ,DIGICONTENT LIMITED,H
DHARSUGAR,EQ,DHARANI SUGARS & CHEMICAL,H
DHFL,N6,SEC RED NCD 8.93% SR. 3B,H
DHFL,EQ,DEWAN HOUSING FIN CORP LT,H
DIAPOWER,BZ,DIAMOND POWER INFRA LTD,H
DIGISPICE,EQ,DIGISPICE TECHNOLOGIES LT,H
DUCON,EQ,DUCON INFRATECHNOLOGIES L,H
EASUNREYRL,BZ,EASUN REYROLLE LTD,H
EDELWEISS,EQ,EDELWEISS FIN SERV LTD,H
EKC,EQ,EVEREST KANTO CYLINDERLTD,H
ELECON,EQ,ELECON ENG. CO. LTD,H
EMCO,BZ,EMCO LIMITED,H
ENERGYDEV,EQ,ENERGY DEVE. CO.LTD,H
EROSMEDIA,EQ,EROS INTL MEDIA LTD,H
ESSARSHPNG,EQ,ESSAR SHIPPING LTD,H
EUROMULTI,EQ,EURO MULTIVISION LTD,H
EXCEL,EQ,EXCEL REALTY N INFRA LTD,H
FCONSUMER,EQ,FUTURE CONSUMER LIMITED,H
FCSSOFT,EQ,FCS SOFTWARE SOLN. LTD.,H
FEL,EQ,FUTURE ENTERPRISES LTD,H
FELDVR,EQ,FUTURE ENTERPRISES LTD,H
FLEXITUFF,EQ,FLEXITUFF VENTURES INT L,H
GANESHHOUC,EQ,GANESH HOUSING CORP LTD,H
GARDENSILK,EQ,GARDEN SILK MILLS LTD,H
GAYAPROJ,EQ,GAYATRI PROJECTS LTD,H
GBGLOBAL,EQ,GB GLOBAL LIMITED,H
GENESYS,EQ,GENESYS INTL CORPN LTD,H
GINNIFILA,EQ,GINNI FILAMENTS LTD,H
GLFL,EQ,GUJARAT LEASE FINANCING L,H
GOENKA,BZ,GOENKA DIAMOND&JEWELS LTD,H
GOLDTECH,EQ,GOLDSTONE TECHNOLOGIES LT,H
GREENPANEL,EQ,GREENPANEL INDUSTRIES LTD,H
GTLINFRA,EQ,GTL INFRA.LTD,H
GTNIND,EQ,GTN INDUSTRIES LIMITED,H
HCL-INSYS,EQ,HCL INFOSYSTEMS LTD,H
HDIL,BZ,HOUSING DEV & INFRA LTD,H
HEXATRADEX,EQ,HEXA TRADEX LIMITED,H
HHOF1140RD,MF,HDFCAMC - HHOF1140RD,H
HITECHGEAR,BE,THE HI-TECH GEARS LIMITED,H
HOVS,EQ,HOV SERVICES LTD,H
HUBTOWN,EQ,HUBTOWN LIMITED,H
IBULISL,EQ,INDIABULLS INTEGR SER LTD,H
IL&FSTRANS,BZ,IL&FS TRANS NET LTD,H
IMPEXFERRO,EQ,IMPEX FERRO TECH LIMITED,H
INDBANK,EQ,INDBANK MERCH BANK,H
INDOSOLAR,BZ,INDOSOLAR LIMITED,H
INDSWFTLAB,EQ,IND SWIFT LABORATORIES LT,H
INDSWFTLTD,BE,IND-SWIFT LIMITED,H
INFIBEAM,EQ,INFIBEAM AVENUES LIMITED,H
INNOVANA,SM,INNOVANA THINKLABS LTD.,H
INNOVATIVE,SM,INNOVATIVE TYRES & TUBES,H
INOXWIND,EQ,INOX WIND LIMITED,H
INTEGRA,EQ,INTEGRA GARMENT & TEX LTD,H
ISMTLTD,EQ,ISMT LIMITED,H
IVC,BE,IL&FS INVESTMENT MANAGERS,H
IVP,EQ,IVP LTD,H
IZMO,EQ,IZMO LIMITED,H
JAIBALAJI,EQ,JAI BALAJI INDUSTRIES LTD,H
JAIHINDPRO,BZ,JAIHIND PROJECTS LTD,H
JAINSTUDIO,BZ,JAIN STUDIOS LIMITED,H
JALAN,SM,JALAN TRANSOLU. INDIA LTD,H
JAYAGROGN,EQ,JAYANT AGRO ORGANICS LTD,H
JAYNECOIND,EQ,JAYASWAL NECO INDUSTR LTD,H
JMTAUTOLTD,EQ,JMT AUTO LIMITED,H
JPASSOCIAT,EQ,JAIPRAKASH ASSOCIATES LTD,H
JPOLYINVST,EQ,JIND POL INV & FIN CO LTD,H
JSWISPL,EQ,JSW ISPAT SPE PRO LTD,H
JUBLINDS,EQ,JUBILANT INDUSTRIES LTD,H
JYOTISTRUC,BZ,JYOTI STRUCTURES LTD,H
KANANIIND,EQ,KANANI INDUSTRIES LTD,H
KARDA,EQ,KARDA CONSTRUCTIONS LTD,H
KAUSHALYA,EQ,KAUSHALYA INFRA DEV LTD.,H
KECL,EQ,KIRLOSKAR ELECTRIC CO LTD,H
KEERTI,EQ,KEERTI KNOW & SKILL LTD.,H
KGL,BZ,KARUTURI GLOBAL LIMITED,H
KOPRAN,EQ,KOPRAN LTD,H
KWALITY,EQ,KWALITY LIMITED,H
LEMONTREE,EQ,LEMON TREE HOTELS LTD,H
LEXUS,SM,LEXUS GRANITO (INDIA) LTD,H
LFIC,EQ,LAKSHMI FIN IND CORP LTD,H
LPDC,EQ,LANDMARK PR.DEV.CO.LTD,H
LSIL,EQ,LLOYDS STEELS IND. LTD.,H
M14RG,MF,SUNDARMAMC - M14RG,H
M15RD,MF,SUNDARMAMC - M15RD,H
MADHUCON,EQ,MADHUCON PROJECTS LTD.,H
MAGNUM,EQ,MAGNUM VENTURES LTD.,H
MAHAPEXLTD,BE,MAHA RASHTRA APEX COPR. L,H
MANGTIMBER,EQ,MANGALAM TIMBER PRODUCTS,H
MANINFRA,EQ,MAN INFRA LTD,H
MARSHALL,SM,MARSHALL MACHINES LTD,H
MBECL,BE,MCNALLY BH. ENG. CO.LTD,H
MBLINFRA,EQ,MBL INFRASTRUCTURES LTD,H
MCLEODRUSS,EQ,MCLEOD RUSSEL INDIA LTD.,H
MEGASOFT,EQ,MEGASOFT LTD,H
MELSTAR,BZ,MELSTAR INFORMATION TECH,H
METKORE,BZ,METKORE ALLOYS & IND LTD,H
MIC,BE,MIC ELECTRONICS LIMITED,H
MITTAL,EQ,MITTAL LIFE STYLE LIMITED,H
MODIRUBBER,BE,MODI RUBBER LTD,H
MOLDTEKPP,E1,MOLDTEK RS.1.25 PPD UP,H
MOLDTKPAC,W1,MOLD TEK PACKAGING LTD,H
MOTOGENFIN,EQ,MOTOR & GENERAL FINANCE L,H
MUKTAARTS,EQ,MUKTA ARTS LIMITED,H
NATNLSTEEL,EQ,NATIONAL STEEL & AGRO IND,H
NDRAUTO,EQ,NDR AUTO COMPONENTS LTD,H
NEXTMEDIA,EQ,NEXT MEDIAWORKS LIMITED,H
NIBL,EQ,NRB INDUS. BEARINGS LTD.,H
NILASPACES,EQ,NILA SPACES LIMITED,H
NITCO,EQ,NITCO LIMITED,H
NITINFIRE,BZ,NITIN FIRE PROT IND. LTD.,H
NOIDATOLL,BE,NOIDA TOLL BRIDGE CO LTD,H
NORBTEAEXP,EQ,NORBEN TEA & EXPORTS LTD,H
NTL,EQ,NEUEON TOWERS LIMITED,H
OILCOUNTUB,BE,OIL COUNTRY TUBULAR LTD.,H
OISL,BZ,OCL IRON AND STEEL LTD,H
OMFURN,SM,OMFURN INDIA LIMITED,H
OMKARCHEM,EQ,OMKAR SPL CHEM LTD,H
OMMETALS,EQ,OM METALS INFRAPRO LTD,H
