SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
RELIANCE INDUSTRIES LTD,      1974.35,      1976.55,8565904,              16939660870.95
BAJAJ FINANCE LIMITED,      5122.50,      5146.60,3269184,              16902309981.45
DLF LIMITED,       214.55,       235.40,69126114,              16048404776.65
HDFC LTD,      2350.35,      2424.65,6532346,              15712587606.40
INDIABULLS HSG FIN LTD,       192.45,       206.35,61294528,              12642818746.85
ICICI BANK LTD.,       518.05,       512.45,24263586,              12506468426.15
HDFC BANK LTD,      1391.30,      1410.70,8416046,              11831665558.40
TATA STEEL LIMITED,       635.35,       643.40,16040256,              10324422415.30
TATA MOTORS LIMITED,       178.90,       182.55,51259394,               9343791573.45
AXIS BANK LIMITED,       607.10,       606.10,14860853,               9053146227.45
INFOSYS LIMITED,      1154.60,      1165.70,7788404,               9040530195.00
BHARTI AIRTEL LIMITED,       504.20,       516.20,17381441,               8862339608.70
MAHINDRA & MAHINDRA LTD,       717.95,       731.95,11262389,               8298436457.90
PUNJAB NATIONAL BANK,        40.60,        37.95,214696891,               8181031783.15
MARUTI SUZUKI INDIA LTD.,      7765.25,      7796.35,963504,               7534866640.50
LARSEN & TOUBRO LTD.,      1246.25,      1268.25,5729223,               7240699946.20
HAVELLS INDIA LIMITED,       864.80,       901.15,8084435,               7182130901.30
TATA CONSULTANCY SERV LT,      2761.55,      2814.20,2565149,               7162892179.05
BAJAJ FINSERV LTD.,      9296.95,      9257.70,761170,               7099191525.65
ASHOK LEYLAND LTD,        94.95,       100.05,69348851,               6858007560.50
STATE BANK OF INDIA,       270.65,       269.40,24844177,               6722276269.80
ZEE ENTERTAINMENT ENT LTD,       232.00,       231.90,26452726,               6136339674.20
INDUSIND BANK LIMITED,       926.75,       921.80,6068477,               5635999601.25
GODREJ PROPERTIES LTD,      1291.70,      1348.15,4027361,               5493769414.35
KOTAK MAHINDRA BANK LTD,      1951.15,      1952.55,2764698,               5386765566.25

