SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,NTL,Neueon Towers Limited, ,28/12/2020,28/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BCG,Lycos Internet Limited, ,22/12/2020,28/12/2020,18/12/2020, , ,AGM/DIV - RS 0.05 PER SH 
BE,MOHOTAIND,Mohota Industries Ltd., ,17/12/2020,24/12/2020,15/12/2020, , ,ANNUAL GENERAL MEETING   
BE,HAVISHA,Sri Havisha Hosp infr Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,HEMIPROP,Hemisphere Prop Ind Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,VALIANTORG,Valiant Organics Limited,28/12/2020, , ,24/12/2020, , ,BONUS 1:1                
BE,ORCHPHARMA,Orchid Pharma Limited, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SPICEJET,Spicejet Limited, ,18/12/2020,24/12/2020,16/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SEYAIND,Seya Industries Limited, ,20/12/2020,26/12/2020,17/12/2020, , ,ANNUAL GENERAL MEETING   
BE,GFSTEELS,Grand Foundry Ltd, ,17/12/2020,23/12/2020,15/12/2020, , ,ANNUAL GENERAL MEETING   
BE,DPWIRES,D P Wires Limited, ,23/12/2020,31/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,GBGLOBAL,GB Global Limited, ,18/12/2020,24/12/2020,16/12/2020, , ,ANNUAL GENERAL MEETING   
BE,GATI,GATI LIMITED, ,22/12/2020,28/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
BE,POCHIRAJU,Pochiraju Industries Limi, ,20/12/2020,26/12/2020,17/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BVCL,Barak Valley Cements Limi, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,GLOBALVECT,Global Vectra Helicorp Li, ,28/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,MADHAV,Madhav Marbles and Granit, ,19/12/2020,26/12/2020,17/12/2020, , ,ANNUAL GENERAL MEETING   
BE,REFEX,Refex Industries Limited, ,25/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SUJANAUNI,Sujana Universal Industri, ,28/12/2020,28/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BANG,Bang Overseas Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,JAYNECOIND,Jayaswal Neco Industr Ltd, ,18/12/2020,24/12/2020,16/12/2020, , ,ANNUAL GENERAL MEETING   
BE,GOLDENTOBC,Golden Tobacco Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,KWALITY,Kwality Limited, ,18/12/2020,24/12/2020,16/12/2020, , ,ANNUAL GENERAL MEETING   
BE,JINDCOT,Jindal Cotex Ltd, ,25/12/2020,30/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,MMTC,MMTC Limited, ,17/12/2020,24/12/2020,15/12/2020, , ,ANNUAL GENERAL MEETING   
BE,TWL,Titagarh Wagons Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BGLOBAL,Bharatiya Global Info Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SYNCOM,Syncom Healthcare Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,DATAMATICS,Datamatics Global Ser.Ltd, ,20/12/2020,26/12/2020,17/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SMPL,Splendid Metal Prod. Ltd, ,28/12/2020,28/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,JPINFRATEC,Jaypee Infratech Ltd, ,18/12/2020,24/12/2020,16/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ZEELEARN,Zee Learn Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ASIANHOTNR,Asian Hotels (North) Ltd, ,19/12/2020,24/12/2020,17/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PRAKASHSTL,Prakash Steelage Ltd, ,17/12/2020,23/12/2020,15/12/2020, , ,ANNUAL GENERAL MEETING   
BE,IL&FSTRANS,IL&FS Trans Net Ltd, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,TI,Tilaknagar Industries Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,RKDL,Ravi Kumar Distilleries, ,16/12/2020,23/12/2020,14/12/2020, , ,ANNUAL GENERAL MEETING   
BE,RESPONIND,Responsive Industries Ltd, ,18/12/2020,24/12/2020,16/12/2020, , ,AGM/DIV - RS 0.07 PER SH 
BE,KSERASERA,KSS Limited, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
