SECURITY,NEW,PREVIOUS,NEW_STATUS
EDEL ETF NIFTY 100 QUAL30,415.4,413.1,H
ORCHID PHARMA LIMITED,92.1,87.75,H
SBI-ETF NIFTY 50,150.9,150.2,H
SEC RED NCD 9.6% SR.VI,1068,1052.35,H
AGC NETWORKS LIMITED,741.8,716.15,H
L&T INFOTECH LIMITED,3618,3512.7,H
BKM INDUSTRIES LIMITED,1.35,1.3,H
PENTA GOLD LIMITED,52.7,50.4,H
INDIA GRID TRUST,118.99,118.5,H
BIRLASOFT LIMITED,236.9,226,H
SEC RED NCD SR. II,1198,1190,H
RKEC PROJECTS LIMITED,57.35,50.3,H
SEC RED NCD SR.VIII,1110,1098,H
TANTIA CONST LTD,1.7,1.65,H
TATAAML - NETF,168.87,168.62,H
EDELWEISS ETF - NIFTY 50,17910,17885,H
RAJ OIL MILLS LIMITED,36.15,34.45,H
DIGISPICE TECHNOLOGIES LT,17.35,16.85,H
SEC RED NCD 9.85 % SR. IV,1077.5,1077.2,H
PARABOLIC DRUGS LTD,3.9,3.75,H
SOLARA ACTIVE PHA SCI LTD,1341,1323.7,H
SEC RED NCD 9.30% SR. II,1125,1090,H
SEC RED NCD 9% SR.V,1070,1050,H
SHEMAROO ENTER. LTD.,70,73.65,L
SHRENIK LIMITED,4.1,4.3,L
JUMP NETWORKS LIMITED,15.85,16.15,L
LOVABLE LINGERIE LTD,96.4,101.45,L
MENON BEARINGS LIMITED,44.55,46.6,L
SIGMA SOLVE LIMITED,43.75,45,L
CMI LIMITED,37,38.9,L
JIYA ECO-PRODUCTS LTD,6.6,6.7,L
AYM SYNTEX LIMITED,34.75,36.4,L
D. P. ABHUSHAN LIMITED,70.05,81.25,L
SPML INFRA LIMITED,11.75,12.35,L
SUPREME ENGINEERING LTD,22.25,22.45,L
BODHI TREE MULTIMEDIA LTD,68.5,74.5,L
DEEP ENE RESOURCES LTD,38.95,39.5,L
INFIBEAM AVENUES LIMITED,79.5,82.15,L
NILA SPACES LIMITED,1.45,1.5,L
TRANS & RECTI. LTD,19.3,20.3,L
B.C. POWER CONTROLS LTD,6.25,6.4,L
SEC RED NCD SR. VIII,700,790,L
GOI LOAN  6.67% 2050,100,100.5,L
INDUS TOWERS LIMITED,224.2,227.75,L
RAVINDER HEIGHTS LIMITED,26.7,28.1,L
THE BYKE HOSPITALITY LTD,18.05,19,L
SEC RED NCD 9.85 % SR. IV,1011.6,1011.75,L

