MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N1,DHANILOANS,DHANI LOANS & SERV LTD,      1071.00,      1060.00,      1061.00,      1055.00,      1055.00,                   173805.00,164, ,15,      1078.65,       721.00
N,N1,ERFLNCDI,SEC RED NCD 8.42% SR. I,       990.00,       980.01,       995.00,       980.01,       995.00,                    13870.04,14, ,2,      1134.00,       701.05
N,N1,IRFC,BOND 8.00% PA TAX FREE S1,      1060.70,      1063.00,      1068.00,      1063.00,      1068.00,                   153541.50,144, ,3,      1194.00,      1025.00
N,N1,M&MFIN,8.72% UNSECURED NCD,      1050.05,      1051.50,      1051.50,      1040.50,      1040.50,                    78059.50,75, ,2,      1370.80,       850.00
N,N1,NHAI,BOND 8.20% PA TAX FREE S1,      1060.50,      1063.00,      1063.00,      1061.00,      1061.20,                  4517784.94,4254, ,55,      1178.00,      1045.00
N,N1,RECLTD,TAXFREE SEC NCD TR1 S1,      1059.50,      1059.00,      1059.00,      1059.00,      1059.00,                    63540.00,60, ,1,      1151.00,      1010.00
N,N2,BRITANNIA,8.00% SEC RED NCD,        32.01,        31.95,        32.19,        31.95,        32.01,                   109870.22,3431, ,74,        36.00,        29.00
N,N2,DHANILOANS,DHANI LOANS & SERV LTD,      1178.80,      1178.00,      1178.00,      1135.15,      1170.10,                   873499.40,747, ,19,      1180.65,       732.00
N,N2,ERFLNCDI,SEC RED NCD 8.75% SR. II,      1050.27,      1055.00,      1058.00,      1055.00,      1058.00,                    15840.00,15, ,3,      1059.99,       611.05
N,N2,IIFL,SEC RED NCD 9.60 % SR. I,      1084.20,      1051.05,      1085.30,      1051.05,      1085.30,                     4272.70,4, ,2,      1178.65,       970.00
N,N2,IRFC,BOND 8.10% PA TAX FREE S2,      1265.00,      1206.00,      1249.00,      1206.00,      1249.00,                   127312.00,102, ,3,      1298.90,      1132.00
N,N2,M&MFIN,9.00% UNSECURED NCD,      1117.35,      1120.00,      1120.00,      1108.50,      1110.99,                   515481.60,464, ,15,      1199.00,       845.00
N,N2,MAGMA,SEC RED NCD SR. II,      1101.00,      1101.00,      1101.00,      1101.00,      1101.00,                    11010.00,10, ,1,      1101.00,       901.00
N,N2,NABARD,7.64% TAX FREE TRI SRIIB,      1296.00,      1299.90,      1304.74,      1297.00,      1298.09,                  1087830.90,838, ,16,      1304.74,      1100.00
N,N2,NHAI,BOND 8.30% PA TAX FREE S2,      1246.18,      1241.10,      1244.90,      1221.00,      1244.84,                  8312910.21,6750, ,93,      1300.00,      1029.85
N,N2,RECLTD,TAXFREE SEC NCD TR1 S2,      1179.00,      1179.99,      1179.99,      1179.99,      1179.99,                    58999.50,50, ,1,      1254.90,      1043.10
N,N2,TATACAPHSG,SEC RED NCD 8.10% SR.I,      1093.16,      1094.00,      1094.00,      1094.00,      1094.00,                    21880.00,20, ,1,      1169.00,       850.40
N,N3,HUDCO,8.10 NCD 05MAR22 FV 1000,      1116.60,      1116.60,      1116.60,      1116.00,      1116.00,                    94868.50,85, ,3,      1277.50,      1010.00
N,N3,IIFL,SEC RED NCD SR. II,      1185.30,      1198.00,      1198.00,      1188.90,      1188.90,                   238599.00,200, ,3,      1198.00,       885.00
N,N4,IBUCCREDIT,SE RE NCD SR.IICIII&IV,      1111.10,      1121.03,      1121.03,      1121.03,      1121.03,                    10089.27,9, ,1,      1175.55,       650.10
N,N4,IIFCL,8.91% TAX FREE NCD,      1492.00,      1491.00,      1492.00,      1490.00,      1491.50,                  1592728.50,1068, ,14,      1494.00,      1240.00
N,N4,IIFL,SEC RED NCD 9.75 % SR.III,      1025.62,      1025.00,      1029.00,      1021.65,      1026.58,                  1656483.19,1615, ,42,      1057.80,       980.00
