MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,       292.87,       293.70,       297.02,       293.63,       295.42,                     3549.87,12,9,       334.20,       161.21,NIFTY BANK
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,       296.63,       293.00,       325.00,       293.00,       317.52,                    30657.76,97,34,       340.00,       193.00,NIFTY NEXT 50 ETF
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       296.04,       295.08,       299.22,       293.95,       298.97,                   375753.68,1270,33,       327.70,       241.11,NIFTY BANK INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,        43.58,        43.74,        43.74,        43.35,        43.45,                  2361495.13,54364,1599,      4802.10,        36.90,GOLD
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       139.35,       139.21,       140.66,       139.21,       140.52,                   403765.82,2889,102,      1396.28,       110.11,NIFTY 50
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       297.78,       297.38,       300.71,       296.10,       300.05,                147930041.21,494437,5670,       332.95,       169.55,NIFTY BANK
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,      4606.30,      4585.05,      4599.00,      4565.05,      4573.00,                   453250.65,99,37,      5445.00,      3414.00,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,       146.95,       151.35,       151.35,       147.96,       149.81,                    12662.52,85,23,       152.90,        85.27,NIFTY 50
N,EQ,CPSEETF,CPSE ETF,        19.97,        20.05,        20.14,        19.83,        20.06,                 18393654.53,918459,1467,        23.88,        11.54,NIFTY CPSE
N,EQ,EBANK,EDELWEISS ETF-NIFTY BANK,      3255.00,      3255.00,      3255.00,      3255.00,      3255.00,                     6510.00,2,2,      3953.96,      1832.01,NIFTY BANK
N,EQ,EBBETF0423,EDELAMC - EBBETF0423,      1109.27,      1108.51,      1109.50,      1108.51,      1109.48,                  6114891.78,5513,53,      1199.00,       830.90,NIFTY BHARAT BOND
N,EQ,EBBETF0425,EDELAMC - EBBETF0425,      1025.68,      1025.00,      1027.49,      1025.00,      1026.41,                   328554.30,320,33,      1101.00,       925.00,NIFTY BHARAT BOND
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1129.30,      1133.93,      1133.93,      1131.06,      1133.48,                  3535064.68,3119,54,      1200.00,       991.10,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1014.99,      1014.55,      1017.50,      1014.55,      1014.99,                 18299357.73,18023,113,      1036.00,       972.00,NIFTY BHARAT BOND
N,EQ,G5,MOTILALAMC - G5,        47.71,        47.75,        47.75,        47.71,        47.73,                    11885.68,249,15,        47.77,        47.66,NIFTY 5 YR BENCHMARK G - SEC INDEX TRI
N,EQ,GOLDBEES,NIP IND ETF GOLD BEES,        43.70,        43.68,        43.71,        43.47,        43.58,                155071693.54,3560474,14071,        51.50,        33.55,GOLD
N,EQ,GOLDSHARE,UTI GOLD ETF,      4478.90,      4477.95,      4498.00,      4454.00,      4492.80,                  4465973.05,997,251,      5374.80,      3363.05,GOLD
N,EQ,HBANKETF,HDFCAMC - HBANKETF,       294.31,       295.22,       298.28,       294.70,       297.56,                   885142.66,2984,85,       308.00,       200.10,NIFTY BANK INDEX
N,EQ,HDFCMFGETF,HDFC GOLD ETF,      4476.10,      4499.50,      4499.50,      4452.50,      4470.70,                 13994367.50,3134,404,      5338.50,      3431.00,GOLD
N,EQ,HDFCNIFETF,HDFCAMC - HDFCNIFETF,      1425.78,      1425.00,      1440.00,      1415.61,      1431.77,                  1422023.82,994,70,      1650.00,       850.00,NIFTY
N,EQ,HDFCSENETF,HDFCAMC - HDFCSENETF,      4949.00,      4950.00,      5100.00,      4911.05,      5003.00,                  1017145.35,204,29,      5100.00,      2940.00,SENSEX
N,EQ,HNGSNGBEES,NIP IND ETF HANGSENG BEES,       330.75,       335.50,       336.99,       326.22,       329.81,                   196608.05,594,89,       391.60,       269.10,HANG SENG INDEX
N,EQ,IBMFNIFTY,IBULLSAMC - IBMFNIFTY,       134.44,       132.20,       135.40,       131.00,       132.05,                   174526.14,1297,25,       144.87,        68.09,NIFTY 50
N,EQ,ICICI500,ICICIPRAMC - ICICI500,       180.72,       180.00,       183.95,       180.00,       183.21,                    66006.91,362,74,       216.90,        88.02,S&P BSE 500 INDEX
N,EQ,ICICIALPLV,ICICIPRAMC - ICICIALPLV,       134.63,       138.00,       138.00,       135.00,       136.80,                   680253.49,5002,44,       147.25,        99.90,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,        30.72,        30.72,        31.20,        30.25,        30.98,                  7615818.98,246385,7395,        35.05,        20.70,S&P BSE BHARAT 22 INDEX
N,EQ,ICICIBANKN,ICICIPRAMC - IPRU5008,       294.18,       289.18,       297.22,       289.18,       297.00,                   337539.78,1143,172,       360.00,       164.32,NIFTY BANK
N,EQ,ICICIBANKP,ICICIPRAMC - ICICIBANKP,       161.69,       161.69,       163.00,       160.95,       162.30,                   488665.03,3013,91,       188.00,        85.95,NIFTY PRIVATE BANK INDEX
N,EQ,ICICIGOLD,ICICI PRUDENTIAL GOLD ETF,        44.67,        44.01,        44.65,        44.01,        44.52,                 85148113.51,1908790,915,        54.10,        32.10,GOLD
N,EQ,ICICILIQ,ICICIPRAMC - ICICILIQ,       999.99,       999.95,      1000.00,       999.95,       999.99,                  7217972.23,7218,35,      1050.00,       805.95,S&P BSE LIQUID RATE INDEX
N,EQ,ICICILOVOL,ICICI PR NIF LW VL 30 ETF,       110.26,       112.70,       112.70,       105.80,       112.10,                  6184996.65,55435,267,       122.00,        61.00,NIFTY 100 LOW VOLATILITY 30 INDEX
N,EQ,ICICIM150,ICICIPRAMC - ICICIM150,        75.69,        77.96,        77.96,        74.70,        77.59,                   322493.01,4174,46,        79.70,        45.10,NIFTY MIDCAP 150
N,EQ,ICICIMCAP,ICICI PRUD MIDCAP SEL ETF,        75.41,        74.27,        77.50,        72.40,        77.07,                 30226241.67,397856,375,        84.40,        37.60,S&P BSE MIDCAP SELECT INDEX
N,EQ,ICICINF100,ICICI PRUD NIFTY 100 ETF,       146.07,       146.00,       150.50,       141.61,       147.69,                   226219.63,1535,118,       160.40,        90.10,NIFTY 100
N,EQ,ICICINIFTY,ICICI PRUD NIFTY ETF,       142.53,       142.00,       144.32,       141.00,       144.04,                  7240709.80,50447,3083,       168.00,        81.31,NIFTY50
N,EQ,ICICINV20,ICICI PRUDENTIAL NV20 ETF,        69.45,        70.97,        70.97,        68.00,        70.68,                   397602.83,5686,278,        72.70,        32.89,NIFTY50 VALUE 20
N,EQ,ICICINXT50,ICICIPRAMC - ICICINXT50,        31.79,        32.48,        32.48,        31.21,        32.26,                   501193.04,15590,193,        33.70,        17.00,NIFTY NEXT 50 ETF
N,EQ,ICICISENSX,ICICI PRUD SENSEX ETF,       494.41,       493.99,       502.00,       493.99,       501.25,                   533502.03,1067,101,       509.00,       290.00,SENSEX
N,EQ,ICICITECH,ICICIPRAMC - ICICITECH,       237.91,       235.00,       254.40,       230.60,       246.56,                238478463.94,983597,349,       256.98,       158.95,NIFTY IT INDEX
N,EQ,IDBIGOLD,IDBI MF - IDBI GOLD ETF,      4595.55,      4664.00,      4664.00,      4610.00,      4616.25,                   785461.30,170,35,      5899.00,      3512.15,GOLD
N,EQ,IDFNIFTYET,IDFCAMC - IDFNIFTYET,       142.45,       148.97,       148.98,       137.00,       140.81,                    64356.36,460,49,       158.40,        86.00,NIFTY 50
N,EQ,INFRABEES,NIP IND ETF INFRA BEES,       371.16,       375.00,       378.00,       368.95,       370.21,                   264841.84,714,43,       389.00,       210.00,NIFTY INFRA
N,EQ,IVZINGOLD,INVESCO INDIA GOLD ETF,      4542.75,      4599.95,      5299.60,      4540.00,      4540.00,                   115530.10,25,16,      5599.90,      3411.00,GOLD
N,EQ,IVZINNIFTY,INVESCO INDIA NIFTY ETF,      1439.70,      1450.70,      1450.70,      1450.70,      1450.70,                    26112.60,18,2,      1670.00,       778.00,NIFTY
N,EQ,JUNIORBEES,NIP IND ETF JUNIOR BEES,       328.78,       336.00,       336.00,       322.45,       334.46,                 36279482.91,109345,2320,       370.00,       180.40,NIFTY NEXT 50
N,EQ,KOTAKBKETF,KOTAKMAMC-KOTAKBKETF,       299.18,       298.45,       301.62,       296.55,       300.98,                  4289937.42,14315,570,       365.70,       167.00,NIFTY BANK
N,EQ,KOTAKGOLD,KOTAK GOLD ETF,       437.75,       438.75,       438.75,       436.05,       437.60,                  8927518.60,20422,534,       508.10,       285.00,GOLD
N,EQ,KOTAKNIFTY,KOTAK NIFTY ETF,       140.60,       143.90,       143.90,       140.01,       141.83,                  1782284.02,12625,415,       149.30,        81.01,NIFTY 50
N,EQ,KOTAKNV20,KOTAKMAMC - KTKNV20ETF,        70.99,        71.50,        71.50,        70.06,        71.42,                   286160.36,4015,75,        72.50,        38.50,NIFTY50 VALUE 20
N,EQ,KOTAKPSUBK,KOTAK PSU BANK,       164.15,       164.99,       166.00,       163.50,       164.82,                  1529788.40,9277,208,       255.00,       105.50,NIFTY PSU BANK INDEX
N,EQ,LICNETFGSC,LICNAMC - LICNMFET,        22.05,        21.82,        22.25,        21.82,        22.07,                    80573.88,3659,66,        25.50,        17.60,GSEC 10 NSE INDEX
