MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     13601.10,     13672.15,     13771.75,     13626.90,     13749.25,578819255120.22,3135853254,Y, ,17493980,     13777.50,      7511.10
Y, , ,NIFTY50 EQL Wgt,     14230.10,     14320.45,     14399.45,     14256.80,     14349.55,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     15194.65,     15308.65,     15377.30,     15208.10,     15286.95,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,     10707.60,     10779.25,     10792.80,     10674.55,     10757.40,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     19413.85,     19557.50,     19598.10,     19381.85,     19521.20,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,      7711.85,      7761.50,      7793.55,      7710.45,      7733.60,0,0,Y, ,0,      7914.15,      4088.05
Y, , ,NIFTY SMLCAP 50,      3425.50,      3449.80,      3473.40,      3441.35,      3457.00,0,0,Y, ,0,      3503.35,      1545.45
Y, , ,NIFTY SMLCAP 250,      5881.80,      5930.35,      5959.65,      5898.00,      5926.55,0,0,Y, ,0,      6034.15,      2867.40
Y, , ,NIFTY MIDSML 400,      7056.95,      7106.35,      7136.50,      7062.30,      7087.25,0,0,Y, ,0,      7239.40,      3650.20
Y, , ,NIFTY200 QUALTY30,     12031.30,     12094.35,     12111.50,     11967.40,     12046.20,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty FinSrv25 50,     14098.25,     14186.45,     14369.15,     14163.70,     14318.50,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY AlphaLowVol,     13604.25,     13667.80,     13683.15,     13523.85,     13628.35,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200Momentm30,     13505.35,     13592.00,     13604.00,     13427.70,     13553.70,0,0,Y, ,0,          .00,          .00
