GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,INDUSIND BANK LIMITED,       912.90,       866.95,5.3
G,AXIS BANK LIMITED,       630.20,       617.65,2.03
G,TECH MAHINDRA LIMITED,       965.65,       947.10,1.96
G,HDFC LTD,      2518.95,      2476.45,1.72
G,ICICI BANK LTD.,       528.80,       520.10,1.67
G,HCL TECHNOLOGIES LTD,       935.90,       921.80,1.53
G,HDFC BANK LTD,      1427.20,      1412.85,1.02
G,STATE BANK OF INDIA,       277.90,       275.20,.98
G,ITC LTD,       211.55,       209.50,.98
G,GAIL (INDIA) LTD,       123.75,       122.65,.9
G,INFOSYS LIMITED,      1250.30,      1240.30,.81
G,SUN PHARMACEUTICAL IND L,       590.60,       586.95,.62
G,WIPRO LTD,       385.00,       382.90,.55
G,SHREE CEMENT LIMITED,     23839.65,     23715.55,.52
G,KOTAK MAHINDRA BANK LTD,      1999.30,      1988.90,.52
G,BAJAJ AUTO LIMITED,      3431.55,      3414.70,.49
G,DIVI'S LABORATORIES LTD,      3784.20,      3766.00,.48
G,ASIAN PAINTS LIMITED,      2696.80,      2683.90,.48
G,EICHER MOTORS LTD,      2460.55,      2451.35,.38
G,GRASIM INDUSTRIES LTD,       909.50,       906.65,.31
G,UPL LIMITED,       454.70,       453.40,.29
G,ULTRATECH CEMENT LIMITED,      5146.75,      5142.15,.09
G,TATA CONSULTANCY SERV LT,      2930.50,      2929.40,.04
 , , , , 
L,COAL INDIA LTD,       135.10,       137.65,-1.85
L,NTPC LTD,        98.60,       100.45,-1.84
L,NESTLE INDIA LIMITED,     18262.65,     18597.35,-1.8
L,HINDALCO  INDUSTRIES  LTD,       235.60,       239.90,-1.79
L,TATA MOTORS LIMITED,       183.45,       186.35,-1.56
L,JSW STEEL LIMITED,       381.80,       386.60,-1.24
L,POWER GRID CORP. LTD.,       189.70,       191.55,-0.97
L,HDFC LIFE INS CO LTD,       673.20,       678.70,-0.81
L,DR. REDDY'S LABORATORIES,      5165.60,      5201.80,-0.7
L,OIL AND NATURAL GAS CORP.,        93.15,        93.80,-0.69
L,RELIANCE INDUSTRIES LTD,      1990.05,      2003.30,-0.66
L,MAHINDRA & MAHINDRA LTD,       707.05,       710.95,-0.55
L,INDIAN OIL CORP LTD,        91.20,        91.70,-0.55
L,MARUTI SUZUKI INDIA LTD.,      7452.35,      7483.00,-0.41
L,LARSEN & TOUBRO LTD.,      1284.85,      1289.40,-0.35
L,BHARAT PETROLEUM CORP  LT,       381.50,       382.75,-0.33
L,BRITANNIA INDUSTRIES LTD,      3593.30,      3603.55,-0.28
L,HERO MOTOCORP LIMITED,      3074.00,      3082.60,-0.28
L,CIPLA LTD,       827.95,       830.15,-0.27
L,SBI LIFE INSURANCE CO LTD,       899.30,       901.65,-0.26
L,BHARTI AIRTEL LIMITED,       520.25,       521.60,-0.26
L,TITAN COMPANY LIMITED,      1540.10,      1543.55,-0.22
L,BAJAJ FINSERV LTD.,      8976.05,      8995.05,-0.21
L,HINDUSTAN UNILEVER LTD.,      2384.30,      2388.90,-0.19
L,TATA STEEL LIMITED,       632.20,       632.65,-0.07
L,BAJAJ FINANCE LIMITED,      5200.50,      5204.10,-0.07
L,ADANI PORT & SEZ LTD,       483.40,       483.55,-0.03
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,INDRAPRASTHA GAS LTD,       511.10,       490.05,4.3
G,PUNJAB NATIONAL BANK,        33.20,        32.40,2.47
G,GODREJ CONSUMER PRODUCTS,       741.15,       727.25,1.91
G,BANDHAN BANK LIMITED,       413.20,       406.15,1.74
G,INFO EDGE (I) LTD,      4703.25,      4629.35,1.6
G,CONTAINER CORP OF IND LTD,       397.45,       392.50,1.26
G,ORACLE FIN SERV SOFT LTD.,      3212.40,      3181.90,0.96
G,P&G HYGIENE & HEALTH CARE,     11064.20,     10969.90,0.86
G,ICICI LOMBARD GIC LIMITED,      1510.30,      1497.65,0.84
G,DABUR INDIA LTD,       528.95,       525.05,0.74
G,HAVELLS INDIA LIMITED,       908.75,       903.60,0.57
G,HDFC AMC LIMITED,      2907.50,      2894.80,0.44
G,BERGER PAINTS (I) LTD,       744.05,       740.90,0.43
G,ALKEM LABORATORIES LTD.,      2925.30,      2916.90,0.29
G,INTERGLOBE AVIATION LTD,      1692.20,      1687.90,0.25
G,SIEMENS LTD,      1575.80,      1572.95,0.18
G,MARICO LIMITED,       407.35,       406.80,0.14
G,HINDUSTAN PETROLEUM CORP,       215.40,       215.20,0.09
G,SBI CARDS & PAY SER LTD,       840.70,       840.00,0.08
