MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y,Nifty 50,     13873.20,     13910.35,     13967.60,     13859.90,     13932.60,516102520966.04,2762921123,Y, ,16609335,     13967.60,      7511.10
Y,NIFTY50 EQL Wgt,     14515.20,     14573.40,     14608.10,     14445.10,     14538.50,0,0,Y, ,0,          .00,          .00
Y,NIFTY100 EQL Wgt,     15450.80,     15521.05,     15548.80,     15361.50,     15452.85,0,0,Y, ,0,          .00,          .00
Y,NIFTY100 LowVol30,     10837.20,     10864.45,     10888.95,     10802.20,     10839.25,0,0,Y, ,0,          .00,          .00
Y,NIFTY Alpha 50,     19733.90,     19812.50,     19848.15,     19605.85,     19705.00,0,0,Y, ,0,          .00,          .00
Y,NIFTY MIDCAP 150,      7813.85,      7856.75,      7869.45,      7766.35,      7806.95,0,0,Y, ,0,      7914.15,      4088.05
Y,NIFTY SMLCAP 50,      3507.90,      3528.15,      3546.55,      3495.00,      3518.60,0,0,Y, ,0,      3546.55,      1545.45
Y,NIFTY SMLCAP 250,      6027.05,      6070.65,      6081.85,      5984.70,      6027.05,0,0,Y, ,0,      6081.85,      2867.40
Y,NIFTY MIDSML 400,      7175.20,      7218.45,      7228.40,      7130.05,      7170.85,0,0,Y, ,0,      7239.40,      3650.20
Y,NIFTY200 QUALTY30,     12141.75,     12176.25,     12209.65,     12126.95,     12180.10,0,0,Y, ,0,          .00,          .00
Y,Nifty FinSrv25 50,     14513.25,     14582.80,     14659.65,     14519.55,     14625.60,0,0,Y, ,0,          .00,          .00
Y,NIFTY AlphaLowVol,     13690.90,     13734.50,     13760.35,     13621.40,     13674.45,0,0,Y, ,0,          .00,          .00
Y,Nifty200Momentm30,     13589.95,     13641.20,     13662.60,     13509.65,     13577.40,0,0,Y, ,0,          .00,          .00
Y,Nifty100ESGSecLdr,      2395.00,      2399.55,      2410.30,      2394.30,      2403.65,0,0,Y, ,0,          .00,          .00
Y,Nifty IT,     24100.30,     24093.05,     24424.20,     24090.30,     24274.05,0,0,Y, ,0,     24424.20,     10991.25
Y,Nifty Next 50,     32351.05,     32507.00,     32541.90,     32153.85,     32331.50,0,0,Y, ,0,     32541.90,     18384.05
Y,Nifty Bank,     30880.95,     31006.90,     31359.35,     31002.60,     31322.50,0,0,Y, ,0,     32347.20,     16116.25
Y,NIFTY MIDCAP 100,     20718.60,     20831.70,     20878.25,     20569.45,     20695.70,0,0,Y, ,0,     21064.35,     10749.95
Y,Nifty 500,     11434.70,     11475.25,     11506.20,     11405.80,     11467.00,0,0,Y, ,0,     11506.20,      6151.60
Y,Nifty 100,     13986.70,     14028.05,     14077.95,     13964.00,     14037.65,0,0,Y, ,0,     14077.95,      7624.85
Y,Nifty Midcap 50,      5822.80,      5856.05,      5876.65,      5770.85,      5814.15,0,0,Y, ,0,      5954.55,      2855.35
